DEBUG: setDebug: JavaMail version 1.4ea
 INFO [main] 2011-02-22 13:12:43,706 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:43,707 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:43,707 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:43,708 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:43,708 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:43,709 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:48,714 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:48,714 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:48,715 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:48,715 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:48,716 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:48,716 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:48,717 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:53,722 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:53,723 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:53,723 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:53,724 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:53,724 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:53,725 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:53,726 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:13:00,140 ShardMap.java:166 :- Setting up ShardMap...
 INFO [main] 2011-02-22 13:13:00,141 ShardMap.java:82 :- Shard#0
 INFO [main] 2011-02-22 13:13:00,141 ShardMap.java:82 :- Shard#1
 INFO [main] 2011-02-22 13:13:00,141 ShardMap.java:100 :- Read in: 2 Shards
 INFO [main] 2011-02-22 13:13:00,142 ShardMap.java:191 :- Validating Shard Mapping
 INFO [main] 2011-02-22 13:13:00,142 ShardMap.java:197 :- Connecting to shard: jdbc:postgresql://localhost:5432/shard1
 INFO [main] 2011-02-22 13:13:00,188 ShardMap.java:197 :- Connecting to shard: jdbc:postgresql://localhost:5432/shard2
 INFO [main] 2011-02-22 13:13:00,206 StateDb.java:33 :- Initializing access to the State Database
 INFO [main] 2011-02-22 13:13:00,213 AbstractService.java:52 :- Starting SocialNetwork Service
 INFO [main] 2011-02-22 13:13:00,214 SocialNetworkService.java:40 :- Starting the SocialNetwork Service
 INFO [main] 2011-02-22 13:13:00,302 DataAccessProvider.java:161 :- Creating cache manager: net.sf.ehcache.CacheManager@6fe30af
 INFO [main] 2011-02-22 13:13:00,348 DataAccessProvider.java:166 :- setting up log4j JMX...
 INFO [main] 2011-02-22 13:13:00,374 DataAccessProvider.java:626 :- Config change: Setting new value of count for Cache: mo to be: 10000
 INFO [main] 2011-02-22 13:13:00,375 DataAccessProvider.java:634 :- Config change: Setting new value of TimeToLive for Cache: credential to be: 180
 INFO [main] 2011-02-22 13:13:00,375 DataAccessProvider.java:642 :- Config change: Setting new value of TimeToIdle for Cache: credential to be: 300
 INFO [main] 2011-02-22 13:13:00,375 DataAccessProvider.java:626 :- Config change: Setting new value of count for Cache: identity to be: 10000
 INFO [main] 2011-02-22 13:13:00,376 AbstractService.java:52 :- Starting Data Access Provider
 INFO [main] 2011-02-22 13:13:00,379 DataService.java:83 :- Registering TopMosCache with CacheRefresher service.
 INFO [main] 2011-02-22 13:13:00,403 AbstractService.java:52 :- Starting CacheRefresher Service
 INFO [main] 2011-02-22 13:13:00,403 CacheRefresher.java:62 :- Starting the CacheRefresher Service will refresh cache every: 30 seconds.
 INFO [main] 2011-02-22 13:13:00,563 Slf4jLog.java:92 :- jetty-7.0.2.v20100331
